algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,158,-327.5,441,0,0.6385221417193374,88,0,0,0,1,0,5,exponential,sparse
q_learning,159,-322.0,441,0,0.6367117993377978,75,2,0,0,1,0,5,exponential,sparse
q_learning,160,84.0,71,1,0.6349065896514684,17,0,0,0,1,1,5,exponential,sparse
q_learning,161,-388.5,441,0,0.6331064981080963,124,1,0,0,1,0,5,exponential,sparse
q_learning,162,-386.5,441,0,0.6313115101966873,75,11,0,0,1,0,5,exponential,sparse
q_learning,163,-192.0,290,1,0.6295216114473888,86,9,0,0,1,4,5,exponential,sparse
q_learning,164,-356.5,441,0,0.6277367874313733,98,2,0,0,1,0,5,exponential,sparse
q_learning,165,-269.0,441,0,0.625957023760722,49,0,0,0,1,0,5,exponential,sparse
q_learning,166,-403.5,441,0,0.6241823060883088,119,4,0,0,1,1,5,exponential,sparse
q_learning,167,-42.0,193,1,0.6224126201076847,34,5,0,3,1,2,5,exponential,sparse
q_learning,168,72.0,69,1,0.6206479515529625,21,1,0,0,1,2,5,exponential,sparse
q_learning,169,-148.0,293,1,0.6188882861987015,79,4,0,0,1,2,5,exponential,sparse
q_learning,170,-76.0,186,1,0.6171336098597933,34,11,0,0,1,2,5,exponential,sparse
q_learning,171,-41.0,208,1,0.6153839083913472,50,1,0,0,1,3,5,exponential,sparse
q_learning,172,-433.5,441,0,0.613639167688576,98,13,0,0,1,1,5,exponential,sparse
q_learning,173,-282.5,441,0,0.6118993736866828,58,0,0,0,1,0,5,exponential,sparse
q_learning,174,-321.0,441,0,0.610164512360747,79,1,0,0,1,0,5,exponential,sparse
q_learning,175,-351.5,441,0,0.6084345697256118,76,6,0,0,1,1,5,exponential,sparse
q_learning,176,-434.0,441,0,0.6067095318357711,89,15,0,0,1,0,5,exponential,sparse
q_learning,177,-297.0,441,0,0.6049893847852573,63,1,0,0,1,0,5,exponential,sparse
q_learning,178,-330.0,441,0,0.6032741147075288,57,7,0,0,1,0,5,exponential,sparse
q_learning,179,-313.0,441,0,0.6015637077753587,69,2,0,0,1,0,5,exponential,sparse
q_learning,180,33.0,103,1,0.5998581502007234,16,5,0,1,1,1,5,exponential,sparse
q_learning,181,-466.5,441,0,0.5981574282346906,133,10,0,0,1,7,5,exponential,sparse
