algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,172,-309.64000000000027,441,0,0.613639167688576,92,10,0,5,lambda=0.0
sarsa_lambda,0.0,173,-137.4099999999999,380,1,0.6118993736866828,90,2,0,5,lambda=0.0
sarsa_lambda,0.0,174,-276.18000000000035,441,0,0.610164512360747,94,4,0,5,lambda=0.0
sarsa_lambda,0.0,175,13.530000000000015,175,1,0.6084345697256118,43,1,0,5,lambda=0.0
sarsa_lambda,0.0,176,-227.35000000000016,441,0,0.6067095318357711,66,3,0,5,lambda=0.0
sarsa_lambda,0.0,177,-89.57999999999957,386,1,0.6049893847852573,72,1,0,5,lambda=0.0
sarsa_lambda,0.0,178,72.39000000000001,79,1,0.6032741147075288,17,3,0,5,lambda=0.0
sarsa_lambda,0.0,179,-254.6900000000002,441,0,0.6015637077753587,74,5,0,5,lambda=0.0
sarsa_lambda,0.0,180,-20.14,221,1,0.5998581502007234,45,3,0,5,lambda=0.0
sarsa_lambda,0.0,181,-110.2499999999999,354,1,0.5981574282346906,84,1,0,5,lambda=0.0
sarsa_lambda,0.0,182,-133.7199999999999,334,1,0.5964615281673098,92,2,0,5,lambda=0.0
sarsa_lambda,0.0,183,-281.19000000000034,441,0,0.5947704363275005,89,6,0,5,lambda=0.0
sarsa_lambda,0.0,184,-69.95999999999988,229,1,0.5930841390829427,62,5,1,5,lambda=0.0
sarsa_lambda,0.0,185,-279.20999999999987,441,0,0.5914026228399668,84,7,0,5,lambda=0.0
sarsa_lambda,0.0,186,-323.33000000000084,441,0,0.5897258740434443,110,8,0,5,lambda=0.0
sarsa_lambda,0.0,187,-315.7500000000008,441,0,0.5880538791766781,75,14,0,5,lambda=0.0
sarsa_lambda,0.0,188,-249.2800000000003,441,0,0.5863866247612937,80,2,0,5,lambda=0.0
sarsa_lambda,0.0,189,-198.22000000000003,441,0,0.5847240973571305,54,2,0,5,lambda=0.0
sarsa_lambda,0.0,190,-214.7100000000001,441,0,0.583066283562134,49,5,0,5,lambda=0.0
sarsa_lambda,0.0,191,-280.9199999999998,441,0,0.5814131700122466,75,8,0,5,lambda=0.0
sarsa_lambda,0.0,192,15.819999999999965,175,1,0.5797647433813012,34,2,1,5,lambda=0.0
sarsa_lambda,0.0,193,5.1600000000001245,186,1,0.5781209903809128,37,4,1,5,lambda=0.0
sarsa_lambda,0.0,194,-121.08999999999982,344,1,0.5764818977603718,78,3,0,5,lambda=0.0
sarsa_lambda,0.0,195,-29.330000000000055,241,1,0.5748474523065371,45,3,2,5,lambda=0.0
sarsa_lambda,0.0,196,8.780000000000015,273,1,0.5732176408437296,35,0,0,5,lambda=0.0
sarsa_lambda,0.0,197,-74.87999999999973,284,1,0.5715924502336259,64,4,0,5,lambda=0.0
sarsa_lambda,0.0,198,-220.21000000000026,441,0,0.5699718673751526,54,5,0,5,lambda=0.0
sarsa_lambda,0.0,199,-47.76999999999971,260,1,0.5683558792043806,60,4,0,5,lambda=0.0
sarsa_lambda,0.0,200,62.10000000000002,123,1,0.5667444726944194,14,2,1,5,lambda=0.0
sarsa_lambda,0.0,201,-240.99000000000012,441,0,0.5651376348553129,72,4,0,5,lambda=0.0
sarsa_lambda,0.0,202,-14.179999999999964,209,1,0.5635353527339337,45,2,0,5,lambda=0.0
sarsa_lambda,0.0,203,89.44,85,1,0.5619376134138796,17,0,0,5,lambda=0.0
sarsa_lambda,0.0,204,-27.50999999999995,242,1,0.5603444040153691,40,3,0,5,lambda=0.0
sarsa_lambda,0.0,205,58.51000000000001,122,1,0.5587557116951372,20,2,0,5,lambda=0.0
sarsa_lambda,0.0,206,-314.1500000000001,441,0,0.5571715236463324,87,11,0,5,lambda=0.0
sarsa_lambda,0.0,207,-48.18999999999993,215,1,0.5555918270984131,58,5,1,5,lambda=0.0
sarsa_lambda,0.0,208,-242.32000000000028,441,0,0.5540166093170455,85,1,0,5,lambda=0.0
